View.ToggleSiblings|Keyboard[Shift+Ctrl+5]
Application.About|Keyboard[Alt+Shift+I]
Application.CheckForUpdate|Keyboard[Alt+Shift+A]
Application.Exit|Keyboard[Alt+Shift+J]
Application.ManageEndpoints|Keyboard[Alt+Shift+B]
Application.Preferences|Keyboard[Ctrl+,]
Application.ShowAccountInfo|Keyboard[Alt+Shift+E]
Application.Tips|Keyboard[Alt+Shift+F]
Application.Tutorials|Keyboard[Alt+Shift+G]
Application.Upgrade|Keyboard[Alt+Shift+H]
Application.VerifyDataIntegrity|Keyboard[Alt+Shift+C]
Attachment.AddAttachment|Keyboard[Alt+Ctrl+A]
Attachment.AttachmentInfo|Keyboard[Alt+Ctrl+O]
Attachment.CopyAttachment|Keyboard[Alt+Ctrl+C]
Attachment.CopyAttachmentAsImage|Keyboard[Alt+Ctrl+Z]
Attachment.CopyToIcon|Keyboard[Alt+Ctrl+E]
Attachment.CutAttachment|Keyboard[Alt+Ctrl+F]
Attachment.DeleteAttachment|Keyboard[Alt+Ctrl+G]
Attachment.EditLocation|Keyboard[Alt+Ctrl+H]
Attachment.MoveFileInOutBrain|Keyboard[Alt+Ctrl+K]
Attachment.CopyFileInOutBrain|Keyboard[Alt+Ctrl+D]
Attachment.MoveFromInboxToActionItem|Keyboard[Alt+Ctrl+J]
Attachment.MoveFromInboxToChild|Keyboard[Alt+Ctrl+Y]
Attachment.OpenAttachment|Keyboard[Alt+Ctrl+L]
Attachment.RenameAttachment|Keyboard[Alt+Ctrl+P]
Attachment.ShowInFolder|Keyboard[Alt+Ctrl+Q]
Brain.BackupToBrainArchive|Keyboard[Alt+Shift+Ctrl+3]
Brain.Statistics|Keyboard[Alt+Shift+Ctrl+F1]
Brain.CreateBrain|Keyboard[Alt+Shift+Ctrl+7]
Brain.CreateBrainWithHelp|Keyboard[Alt+Shift+Ctrl+6]
Brain.EditBrainAccess|Keyboard[Alt+Shift+Ctrl+4]
Brain.Export|Keyboard[Alt+Shift+Ctrl+8]
Brain.FindAndReplace|Keyboard[Alt+Shift+Ctrl+9]
Brain.Import|Keyboard[Alt+Shift+Ctrl+0]
Brain.RenameBrain|Keyboard[Alt+Shift+Ctrl+-]
Brain.SetActiveThought|Keyboard[Alt+Shift+Ctrl+2]
Brain.SetHomeThought|Keyboard[Alt+Shift+Ctrl+=]
Brain.SyncAutomatically|Keyboard[Alt+Shift+Ctrl+F2]
Brain.Sync|Keyboard[Alt+Shift+Ctrl+F3]
Brain.SyncSettings|Keyboard[Alt+Shift+Ctrl+F5]
Brain.Theme|Keyboard[Alt+Shift+Ctrl+5]
Edit.Copy|Keyboard[Ctrl+C]
Edit.Cut|Keyboard[Ctrl+X]
Edit.Paste|Keyboard[Ctrl+V]
Edit.Redo|Keyboard[Ctrl+Y]
Edit.SelectAll|Keyboard[Ctrl+A]
Edit.Undo|Keyboard[Ctrl+Z]
Icon.CaptureIconImage|Keyboard[Alt+Ctrl+S]
Icon.ChooseIconFile|Keyboard[Alt+Ctrl+T]
Icon.CopyIcon|Keyboard[Alt+Ctrl+U]
Icon.DeleteIcon|Keyboard[Alt+Ctrl+V]
Icon.PasteIconImage|Keyboard[Alt+Ctrl+W]
Icon.SelectStockIcon|Keyboard[Alt+Ctrl+X]
Link.ShowLinkHistory|Keyboard[Alt+Shift+Y]
Link.ShowLinkProperties|Keyboard[Alt+Shift+Z]
Link.Unlink|Keyboard[Alt+Shift+T]
